Object Histogram:

Size	Count	Class description
840	35	java.lang.ref.ReferenceQueue
832	26	javax.swing.plaf.metal.MetalBumps
832	8	javax.swing.plaf.basic.BasicTextUI$BasicCaret
832	52	sun.java2d.pipe.PixelToShapeConverter
832	26	java.io.ObjectStreamField
816	17	sun.java2d.loops.DrawGlyphList
816	34	javax.swing.plaf.basic.BasicPopupMenuUI
816	17	sun.java2d.loops.FillRect
768	16	sun.java2d.loops.DrawLine
768	24	java.util.Locale
768	16	sun.java2d.loops.DrawRect
768	16	sun.java2d.loops.FillSpans
768	16	sun.java2d.loops.DrawPolygons
768	8	java.lang.Thread
760	19	javax.swing.DefaultBoundedRangeModel
744	3	sun.awt.X11.XFramePeer
744	31	java.awt.datatransfer.DataFlavor
744	31	java.awt.datatransfer.MimeType
720	30	com.sun.java.swing.SwingUtilities2$2
704	44	javax.swing.UIDefaults$LazyInputMap
704	2	javax.swing.JTabbedPane
680	17	org.python.modules.sre.PatternObject
672	14	java.util.WeakHashMap
672	2	javax.swing.JMenuBar
672	2	javax.swing.JToolBar
648	27	sun.awt.SunHints$Value
640	20	sun.java2d.loops.RenderCache$Entry
616	11	java.awt.BorderLayout
608	19	javax.swing.JToggleButton$ToggleButtonModel
608	19	sun.misc.URLClassPath$JarLoader
600	15	javax.swing.SpringLayout$Constraints
600	3	javax.swing.plaf.basic.BasicSplitPaneUI$1
592	37	sun.reflect.BootstrapConstructorAccessorImpl
576	12	javax.swing.TransferHandler$SwingDropTarget
576	12	org.python.core.DictFuncs
576	18	sun.awt.image.FileImageSource
576	6	sun.java2d.loops.RenderCache$Entry[]
576	12	org.python.core.BuiltinFunctions
576	36	java.util.regex.Pattern$Category
560	35	javax.swing.JMenu$MenuChangeListener
560	35	javax.swing.plaf.basic.BasicMenuUI$Handler
544	34	javax.swing.plaf.basic.BasicPopupMenuUI$BasicMenuKeyListener
544	34	javax.swing.plaf.basic.BasicPopupMenuUI$BasicPopupMenuListener
528	11	java.awt.image.SinglePixelPackedSampleModel
520	13	org.python.proxies.leoSwingFrame$SetHeadline$16
520	5	java.awt.image.ComponentColorModel
512	8	sun.awt.X11SurfaceData$X11WindowSurfaceData
512	16	java.util.concurrent.ConcurrentHashMap$Segment
512	16	javax.swing.plaf.basic.BasicScrollBarUI$TrackListener
504	21	javax.print.MimeType
504	21	java.security.AccessControlContext
504	21	javax.swing.text.StyleContext$SmallAttributeSet
496	31	java.awt.datatransfer.MimeTypeParameterList
496	31	javax.swing.JMenu$WinListener
496	1	leoIconTreeRenderer
480	10	org.python.core.SeqFuncs
480	10	org.python.core.ListFunctions
480	10	sun.awt.X11PMBlitLoops$DelegateBlitLoop
480	12	java.util.TreeMap
480	10	sun.awt.X11PMBlitBgLoops
480	20	javax.swing.plaf.InsetsUIResource
472	1	javax.swing.plaf.metal.MetalInternalFrameTitlePane
464	29	javax.swing.Timer$DoPostEvent
464	29	javax.accessibility.AccessibleState
456	19	javax.swing.SpringLayout$SpringProxy
456	19	javax.print.DocFlavor$BYTE_ARRAY
448	14	java.util.Collections$SynchronizedMap
448	8	javax.swing.ScrollPaneLayout$UIResource
448	8	javax.swing.plaf.metal.MetalScrollPaneUI
448	20	sun.font.PhysicalFont[]
440	5	java.awt.GridBagConstraints
440	11	javax.swing.BoxLayout
440	1	org.python.proxies.leoSwingFrame$leoJTextPane$37
432	6	javax.swing.text.PlainDocument
432	27	javax.swing.plaf.metal.MetalPopupMenuSeparatorUI
432	27	javax.swing.plaf.InputMapUIResource
432	18	java.io.RandomAccessFile
416	1	javax.swing.JTable
416	26	java.lang.Float
416	13	javax.swing.plaf.basic.BasicLookAndFeel$AudioAction
416	4	sun.awt.image.IntegerInterleavedRaster
408	3	org.python.proxies.leoAtFile$atFile$57
408	17	sun.java2d.loops.CompositeType
408	17	java.util.concurrent.locks.ReentrantLock$NonfairSync
400	25	java.lang.StringBuffer
400	10	java.util.zip.Inflater
400	2	javax.swing.plaf.metal.MetalTabbedPaneUI
400	1	org.python.parser.SimpleNode[]
400	2	sun.awt.X11.XWindowPeer
392	1	javax.swing.JTree
384	4	sun.font.FileFontStrike
384	16	javax.swing.plaf.basic.LazyActionMap
384	1	org.python.proxies.leoSwingFind$_LeoTableCellRenderer$10
384	16	java.util.regex.Pattern$GroupTail
384	16	javax.swing.plaf.basic.BasicScrollBarUI$ScrollListener
384	8	sun.font.StrikeMetrics
376	4	java.math.BigInteger[]
376	1	javax.swing.table.JTableHeader$UIResourceTableCellRenderer
376	1	javax.swing.JList
368	23	java.io.FileDescriptor
368	1	javax.swing.DefaultListCellRenderer$UIResource
360	9	javax.swing.text.AbstractDocument$BidiElement
360	1	javax.swing.JInternalFrame
360	9	javax.swing.text.AbstractDocument$BidiRootElement
360	15	javax.imageio.spi.DigraphNode
360	3	sun.awt.X11.XContentWindow
360	9	javax.swing.text.GapContent
360	5	sun.font.FontDesignMetrics
352	11	java.util.Set[]
352	22	javax.swing.tree.TreePath
352	1	javax.swing.table.JTableHeader
352	22	java.util.Collections$UnmodifiableSet
344	1	EditorBackground
344	1	javax.swing.JDesktopPane
344	1	javax.swing.SwingUtilities$SharedOwnerFrame
336	14	java.util.LinkedList$Entry
336	6	javax.swing.JRootPane$1
336	1	org.python.proxies.leoSwingFrame$leoLayeredPane$29
336	1	leoEditorKit$LeoNumberLabel
336	3	javax.swing.plaf.metal.MetalSplitPaneUI
336	7	java.lang.Package
336	21	java.util.jar.Attributes$Name
328	3	javax.swing.Action[]
328	1	javax.swing.JInternalFrame$JDesktopIcon
328	1	javax.swing.JSeparator
320	8	sun.font.FontStrikeDisposer
320	20	java.awt.font.TextAttribute
320	20	java.util.HashMap$KeySet
320	20	javax.swing.plaf.basic.BasicDesktopPaneUI$Actions
320	1	javax.swing.Popup$HeavyWeightWindow
320	8	sun.font.StrikeCache$SoftDisposerRef
320	1	javax.swing.JWindow
320	10	java.util.regex.Pattern$Curly
296	37	java.lang.ref.ReferenceQueue$Lock
288	12	sun.reflect.UnsafeIntegerFieldAccessorImpl
288	6	javax.imageio.ImageTypeSpecifier$Packed
288	12	javax.swing.UIDefaults$ProxyLazyValue
288	12	java.util.Stack
288	9	org.python.proxies.leoSwingFind$jcbAction$79
288	12	java.util.Collections$UnmodifiableMap
288	12	java.awt.dnd.DropTargetContext
288	18	sun.nio.ch.NativeThreadSet
272	17	javax.swing.plaf.IconUIResource
272	17	java.nio.channels.spi.AbstractInterruptibleChannel$1
264	11	sun.reflect.UnsafeStaticObjectFieldAccessorImpl
264	11	java.util.regex.Pattern$Range
256	16	java.awt.Point
256	16	sun.font.TrueTypeFont$TTDisposerRecord
256	8	java.awt.FlowLayout
256	16	javax.swing.plaf.basic.BasicScrollBarUI$ModelListener
256	16	javax.swing.plaf.metal.MetalScrollBarUI$ScrollBarListener
256	16	java.util.regex.Pattern$GroupHead
256	1	javax.swing.tree.DefaultTreeCellEditor$EditorContainer
256	16	javax.swing.plaf.basic.BasicScrollBarUI$Handler
256	4	sun.awt.X11.XSelection
256	8	java.lang.ClassLoader$NativeLibrary
256	8	javax.swing.text.DefaultEditorKit$NextVisualPositionAction
256	8	sun.font.FontStrikeDesc
256	16	javax.swing.plaf.basic.BasicScrollBarUI$ArrowButtonListener
256	8	sun.awt.X11.AwtGraphicsConfigData
256	16	java.util.concurrent.ConcurrentHashMap$HashEntry[]
256	16	javax.swing.JScrollBar$ModelListener
248	11	java.awt.Rectangle[]
240	3	javax.swing.JTabbedPane$Page
240	6	sun.java2d.loops.RenderLoops
240	2	javax.swing.plaf.metal.MetalToolBarUI
240	5	java.awt.LightweightDispatcher
240	5	java.util.Properties
240	3	org.python.modules.struct$FormatDef[]
240	6	javax.swing.plaf.metal.MetalRootPaneUI
232	9	java.io.ObjectStreamField[]
224	14	java.util.regex.Pattern$Ctype
224	7	sun.misc.SoftCache
224	7	org.python.proxies.leoSwingFind$rAction$78
224	4	javax.swing.DefaultListSelectionModel
224	4	javax.swing.UIDefaults
216	9	java.util.regex.Pattern$BitClass
216	9	javax.swing.text.JTextComponent$KeymapWrapper
216	9	javax.swing.plaf.basic.BasicTextUI$BasicHighlighter
216	9	javax.swing.plaf.basic.BasicTextUI$RootView
216	9	javax.swing.JCheckBox$1
216	9	javax.swing.text.JTextComponent$MutableCaretEvent
216	9	java.util.logging.Level
216	9	javax.swing.text.JTextComponent$KeymapActionMap
216	9	javax.swing.text.GapContent$MarkVector
216	9	javax.swing.text.StyledEditorKit$FontSizeAction
216	9	javax.swing.plaf.basic.BasicTextUI$FocusAction
216	9	javax.swing.plaf.basic.BasicTextUI$UpdateHandler
216	9	sun.awt.SunHints$Value[]
216	9	javax.swing.text.DefaultHighlighter$SafeDamager
208	13	java.awt.AlphaComposite
200	5	javax.swing.border.TitledBorder
200	5	org.python.core.InternalTables2$TableProvid2
192	3	java.util.regex.Pattern
192	12	javax.swing.plaf.ActionMapUIResource
192	12	java.security.ProtectionDomain[]
192	12	javax.swing.Spring$WidthSpring
192	3	javax.swing.text.PlainView
192	6	javax.swing.text.DefaultStyledDocument$ElementBuffer$ElemChanges
192	8	java.util.LinkedList
192	8	sun.reflect.UnsafeObjectFieldAccessorImpl
192	6	java.util.ResourceBundle$LoaderReference
192	12	javax.swing.Spring$HeightSpring
192	3	javax.swing.text.DefaultStyledDocument$ElementBuffer
192	1	javax.swing.ImageIcon$1
192	4	sun.font.CompositeStrike
192	3	sun.awt.im.InputMethodContext
192	12	javax.swing.plaf.DimensionUIResource
192	8	java.util.regex.Pattern$Single
192	3	javax.swing.text.FieldView
192	12	javax.swing.plaf.BorderUIResource$CompoundBorderUIResource
192	6	java.lang.ThreadLocal$ThreadLocalMap$Entry
192	8	javax.swing.text.StyleContext$NamedStyle
192	6	javax.swing.plaf.basic.BasicTextUI$TextActionWrapper
184	1	javax.swing.plaf.metal.MetalTreeUI
176	1	leoEditorKit$LeoView
168	3	java.awt.color.ICC_ColorSpace
168	7	javax.swing.JRadioButton$1
168	7	java.util.ResourceBundle$ResourceCacheKey
160	5	sun.awt.X11.XWindowAttributesData
160	5	sun.awt.X11.XWMHints
160	10	java.util.Formatter$Flags
160	5	org.python.proxies.leoSwingFind$commandAA$80
160	5	short[][]
160	2	javax.swing.text.BoxView
160	5	sun.awt.FontDescriptor[][]
160	2	java.lang.ThreadLocal$ThreadLocalMap$Entry[]
